Date,High,Low,Open,XLP,Volume,Adj Close,DlyRtn
1/4/1999,27.59375,26.73438072,27.375,26.9375,50000,17.00129318,
1/5/1999,27.28125,27.01561928,27.09375,27.14061928,27900,17.1294899,0.754040972
1/6/1999,27.48438072,27.15625,27.32811928,27.46875,118500,17.336586,1.20900331
1/7/1999,27.26561928,26.95311928,27.26561928,27.15625,43500,17.13935471,-1.137659357
1/8/1999,27.17188072,26.625,27.15625,27.04688072,63800,17.07032776,-0.402739474
1/11/1999,26.98438072,26.32811928,26.98438072,26.5,65400,16.72517014,-2.021974201
1/12/1999,26.57811928,26.25,26.48438072,26.29688072,29400,16.59697914,-0.766455547
1/13/1999,26.48438072,25.54688072,25.54688072,26.34375,73800,16.62655067,0.17817419
1/14/1999,26.32811928,25.48438072,26.23438072,25.84375,30800,16.31098557,-1.897958966
1/15/1999,26.21875,25.82811928,26.0625,26.125,39000,16.48848915,1.088245619
1/19/1999,26.32811928,25.65625,26.32811928,25.82811928,39200,16.30111885,-1.13637034
1/20/1999,26.1875,25.78125,25.98438072,25.90625,480500,16.35042763,0.30248707
1/21/1999,25.9375,25.35938072,25.79688072,25.51561928,42500,16.10389519,-1.507804235
1/22/1999,25.67188072,25.21875,25.35938072,25.39061928,75700,16.02500153,-0.489904216
1/25/1999,25.48438072,25.10938072,25.39061928,25.32811928,179000,15.9855566,-0.246146144
1/26/1999,25.92188072,25.29688072,25.34375,25.92188072,85000,16.36029243,2.344215103
1/27/1999,26.42188072,26.09375,26.17188072,26.26561928,50400,16.57724762,1.326108233
1/28/1999,26.79688072,26.26561928,26.29688072,26.73438072,57300,16.8731041,1.784714101
1/29/1999,26.98438072,26.4375,26.8125,26.79688072,167800,16.91254044,0.23372309
2/1/1999,27.07811928,26.67188072,26.98438072,26.6875,57200,16.84350777,-0.408174451
2/2/1999,26.90625,26.53125,26.78125,26.90625,81800,16.98156548,0.81964939
2/3/1999,26.90625,26.54688072,26.78125,26.8125,65300,16.92239571,-0.348435304
2/4/1999,26.90625,26.5625,26.70311928,26.6875,34400,16.84350777,-0.466174771
2/5/1999,26.6875,26.25,26.6875,26.28125,33000,16.58711243,-1.52222057
2/8/1999,26.375,26.01561928,26.21875,26.23438072,83500,16.55752754,-0.178360669
2/9/1999,26.17188072,25.71875,26.17188072,25.76561928,44500,16.26166725,-1.786862741
2/10/1999,25.95311928,25.625,25.89061928,25.95311928,32000,16.38001251,0.727756009
2/11/1999,26.40625,25.96875,26.04688072,26.39061928,22400,16.65612984,1.685696666
2/12/1999,26.51561928,25.98438072,26.4375,26.17188072,29600,16.51808357,-0.828801564
2/16/1999,26.67188072,26.40625,26.5,26.48438072,37700,16.71531105,1.194009445
2/17/1999,26.71875,26.03125,26.46875,26.21875,26800,16.54765892,-1.002985404
2/18/1999,26.57811928,26.26561928,26.3125,26.5,29400,16.72517014,1.072727061
2/19/1999,26.625,26.34375,26.45311928,26.39061928,30300,16.65612984,-0.412792802
2/22/1999,27.125,26.42188072,26.5,26.95311928,183700,17.01115608,2.131505029
2/23/1999,27.15625,26.78125,26.98438072,26.90625,35400,16.98156548,-0.17394824
2/24/1999,27.26561928,26.59375,27.09375,26.75,69000,16.88295364,-0.580699299
2/25/1999,26.625,26.07811928,26.48438072,26.4375,28100,16.68573189,-1.168170926
2/26/1999,26.59375,26.21875,26.375,26.51561928,15100,16.73502541,0.29542317
3/1/1999,26.51561928,26.15625,26.42188072,26.39061928,17500,16.65612984,-0.471439791
3/2/1999,26.70311928,26.26561928,26.53125,26.3125,29700,16.6068325,-0.295971112
3/3/1999,26.42188072,26.04688072,26.42188072,26.3125,32000,16.6068325,0
3/4/1999,26.71875,26.21875,26.35938072,26.67188072,85300,16.83365631,1.365846297
3/5/1999,27.23438072,26.6875,26.6875,27.07811928,49100,17.09004974,1.523100079
3/8/1999,27.20311928,26.82811928,27.14061928,27.20311928,30700,17.16893578,0.461590418
3/9/1999,27.39061928,27,27.23438072,27.23438072,23300,17.18867493,0.114970149
3/10/1999,27.125,26.84375,27.125,26.9375,32600,17.00129318,-1.090146537
3/11/1999,27.39061928,27.01561928,27.14061928,27.20311928,55700,17.16893578,0.986057893
3/12/1999,27.57811928,27.25,27.45311928,27.4375,48100,17.31686783,0.861626222
3/15/1999,27.875,27.5,27.59375,27.67188072,246400,17.46478844,0.854199558
3/16/1999,27.95311928,27.70311928,27.71875,27.79688072,63700,17.54368591,0.451751686
3/17/1999,27.78125,27.3125,27.78125,27.32811928,40900,17.24783707,-1.686355125
3/18/1999,27.79688072,27.21875,27.21875,27.79688072,22300,17.54368591,1.715280851
3/19/1999,27.92188072,27.40625,27.92188072,27.625,174200,17.46599579,-0.442838095
3/22/1999,27.625,27.28125,27.48438072,27.60938072,93400,17.45611,-0.056600197
3/23/1999,27.48438072,26.51561928,27.29688072,26.82811928,91600,16.96216202,-2.829656681
3/24/1999,26.85938072,26.5,26.59375,26.8125,46700,16.9522934,-0.058180212
3/25/1999,27.1875,26.76561928,27.0625,27.01561928,46000,17.08071136,0.757525638
3/26/1999,26.98438072,26.70311928,26.76561928,26.92188072,20400,17.02144432,-0.346982294
3/29/1999,27.46875,27.1875,27.1875,27.26561928,18200,17.23877716,1.276817853
3/30/1999,27.14061928,26.71875,26.71875,27.03125,45800,17.09059715,-0.859573777
3/31/1999,27.23438072,26.40625,27.23438072,26.4375,45800,16.71519279,-2.196554951
4/1/1999,26.71875,26.375,26.71875,26.48438072,38500,16.74482918,0.177302071
4/5/1999,26.75,26.53125,26.75,26.625,32900,16.83373833,0.530964802
4/6/1999,26.625,26.14061928,26.42188072,26.32811928,136600,16.64603233,-1.115058284
4/7/1999,26.54688072,26.14061928,26.54688072,26.29688072,77800,16.62627983,-0.118661925
4/8/1999,26.96875,26.34375,26.34375,26.90625,49100,17.01155853,2.317287485
4/9/1999,27.125,26.64061928,26.96875,26.96875,61000,17.05107689,0.232302974
4/12/1999,27.54688072,27,27,27.42188072,28400,17.33756256,1.680161751
4/13/1999,27.67188072,27.1875,27.625,27.51561928,70200,17.39683342,0.341863849
4/14/1999,27.5,26.57811928,27.5,26.6875,38700,16.87324905,-3.00965327
4/15/1999,26.76561928,25.75,26.76561928,26.03125,292300,16.45833588,-2.458999901
4/16/1999,26.15625,25.875,26.15625,26.14061928,16800,16.5274868,0.420157452
4/19/1999,26.1875,25,26.01561928,25.04688072,71700,15.83596134,-4.184093248
4/20/1999,25.73438072,25.125,25.3125,25.51561928,29400,16.13232422,1.871454915
4/21/1999,26.51561928,25.60938072,25.75,26.32811928,92900,16.64603233,3.184340382
